project_name,listing_title,price,location_zone,bts_mrt,size_sqm,bedrooms,bathrooms,listing_url,post_type,property_type,page_number
Casa Condo Asoke - Dindaeng,Great Value 💸 Casa Condo Asoke-Dindaeng for Rent – Convenient Location & Easy Transportation,"9,000 THB/month","Bangkok, Din Daeng Bangkok",,26.0,1.0,1.0,https://propertyhub.in.th/en/listings/great-value-casa-condo-asoke-dindaeng-for-rent-convenient-location-easy-transportation,FOR_RENT,CONDO,2
M Jatujak,29 Sqm 1 Bed M Jatujak,"18,000 THB/month","Bangkok, Chatuchak Bangkok",,29.0,1.0,1.0,https://propertyhub.in.th/en/listings/29-sqm-1-bed-m-jatujak--b30809f9,FOR_RENT,CONDO,2
Aspen Lasalle Phase A,We have many rooms to choose  Aspen Condo Lasalle (in front of Sikarin Hospital) 🚝Near BTS Bearing 10 minutes + 🚅MRT Sri Lasalle 500 meters.,"8,000 THB/month","Bangkok, Bang Na Bangkok",BTS Bearing 10 minutes + 🚅MRT Sri Lasalle 500 meters.,24.0,1.0,1.0,https://propertyhub.in.th/en/listings/we-have-many-rooms-to-choose-aspen-condo-lasalle-in-front-of-sikarin-hospital-near-bts-bearing-10-minutes-mrt-sri-lasalle-500-meters,FOR_RENT,CONDO,2
Knightsbridge Prime Onnut,"Beautiful room for rent at a rare price! Located near BTS On Nut, “Knightsbridge Prime Onnut,” close to Big C On Nut, Lotus, and Century Plaza.","17,000 THB/month","Bangkok, Watthana Bangkok",BTS On Nut,28.0,1.0,1.0,https://propertyhub.in.th/en/listings/beautiful-room-for-rent-at-a-rare-price-located-near-bts-on-nut-knightsbridge-prime-onnut-close-to-big-c-on-nut-lotus-and-century-plaza,FOR_RENT,CONDO,2
Niche Mono Sukhumvit - Bearing,"For rent, The Niche Mono Bearing, condo near BTS, beautiful room, central location, magnificent","10,000 THB/month","Bangkok, Muang Samut Prakarn Samut Prakarn",,29.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-the-niche-mono-bearing-condo-near-bts-beautiful-room-central-location-magnificent--a703091b,FOR_RENT,CONDO,2
Regent Home Wutthakat,Regent home wutthakat ☎️2 bed‼️ only 22000/month ‼️new corner room fully furnished 🔆✅,"22,000 THB/month","Bangkok, Thon Buri Bangkok",,53.0,2.0,1.0,https://propertyhub.in.th/en/listings/regent-home-wutthakat-️2-bed️-only-22000-month-️new-corner-room-fully-furnished,FOR_RENT,CONDO,2
THE LINE VIBE  Phahonyothin,For Rent 🔥 The Line Vibe Phahonyothin 🔥 Fully furnished with appliances. Close to 2 MRT lines.,"19,000 THB/month","Bangkok, Chatuchak Bangkok",MRT lines.,37.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-the-line-vibe-phahonyothin-fully-furnished-with-appliances-close-to-2-mrt-lines--a6da0980,FOR_RENT,CONDO,2
Nue District R9 Rama 9,For Rent! Hot Deal Nue District R9,"16,000 THB/month","Bangkok, Huai Khwang Bangkok",,27.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-hot-deal-nue-district-r9--a148091d,FOR_RENT,CONDO,2
The Saint Residences,"For rent 📍 The Saint Residences 📍 Fully furnished and equipped, near BTS Ha Yaek Lat Phrao","14,000 THB/month","Bangkok, Chatuchak Bangkok",BTS Ha Yaek Lat Phrao,29.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-the-saint-residences-fully-furnished-and-equipped-near-bts-ha-yaek-lat-phrao--aaee094b,FOR_RENT,CONDO,2
Aspen Lasalle Phase A,"‼️ Giants for rent, condos near MRT Sri La Salle, complete electrical appliance 7,000 🎉Aspen Lasalle","7,000 THB/month","Bangkok, Bang Na Bangkok",MRT Sri La Salle,25.0,1.0,1.0,https://propertyhub.in.th/en/listings/️-giants-for-rent-condos-near-mrt-sri-la-salle-complete-electrical-appliance-7-000-aspen-lasalle,FOR_RENT,CONDO,2
The Room Sukhumvit 64,The room sukhumvit 64 ☎️41 sqm 1 bed ‼️only 13000/month ‼️NOW AVAILABLE 🔆✅,"13,000 THB/month","Bangkok, Phra Khanong Bangkok",,41.0,1.0,1.0,https://propertyhub.in.th/en/listings/the-room-sukhumvit-64-️41-sqm-1-bed-️only-13000-month-️now-available,FOR_RENT,CONDO,2
Nue District R9 Rama 9,1 Bed Large Room City view Fully furnished Good Location  Close to MRT Phra Ram 9 @ NUE District R9,"17,500 THB/month","Bangkok, Huai Khwang Bangkok",MRT Phra Ram 9 @ NUE District R9,26.97,1.0,1.0,https://propertyhub.in.th/en/listings/1-bed-large-room-city-view-fully-furnished-good-location-close-to-mrt-phra-ram-9-nue-district-r9--a57008c8,FOR_RENT,CONDO,2
IDEO Sathorn - Thapra,"🌆 For rent! IDEO Sthorn -thapra🏢✨ Condo near BTS Pho Nimit, convenient travel, comfortable living, fully furnished! Beautiful room, good view","12,000 THB/month","Bangkok, Thon Buri Bangkok",BTS Pho Nimit,32.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-ideo-sthorn-thapra-condo-near-bts-pho-nimit-convenient-travel-comfortable-living-fully-furnished-beautiful-room-good-view,FOR_RENT,CONDO,2
A Space ID Asoke - Ratchada,"For rent, A Space ID Asoke-Ratchada  1 bedroom, 1 bathroom, beautiful room, good location, near MRT Rama 9.","15,000 THB/month","Bangkok, Din Daeng Bangkok",MRT Rama 9.,35.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-a-space-id-asoke-ratchada-1-bedroom-1-bathroom-beautiful-room-good-location-near-mrt-rama-9,FOR_RENT,CONDO,2
Life Asoke Hype,"Life Asoke Hype | Price 18,000 THB | Beautiful room, great location, fully furnished, ready to move in.","18,000 THB/month","Bangkok, Ratchathewi Bangkok",,32.0,1.0,1.0,https://propertyhub.in.th/en/listings/life-asoke-hype-price-18-000-thb-beautiful-room-great-location-fully-furnished-ready-to-move-in,FOR_RENT,CONDO,2
Maestro 01 Sathorn - Yenakat,1-BR Condo at Maestro 01 Sathorn - Yenakat near MRT Khlong Toei (ID 1786911),"53,000 THB/month","Bangkok, Sathon Bangkok",MRT Khlong Toei (ID 1786911),75.0,1.0,2.0,https://propertyhub.in.th/en/listings/1-br-condo-at-maestro-01-sathorn-yenakat-near-mrt-khlong-toei-id-1786911,FOR_RENT,CONDO,2
The Bangkok Narathiwas,1-BR Condo at The Bangkok Narathiwas Ratchanakarint Condominium in Thung Wat Don (ID 670381),"18,000 THB/month","Bangkok, Sathon Bangkok",,53.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-br-condo-at-the-bangkok-narathiwas-ratchanakarint-condominium-in-thung-wat-don-id-670381--a4ba08dc,FOR_RENT,CONDO,2
Dusit Avenue,2-BR Condo at Dusit Avenue near MRT Bang Phlat (ID 2093943),"20,000 THB/month","Bangkok, Dusit Bangkok",MRT Bang Phlat (ID 2093943),58.0,2.0,1.0,https://propertyhub.in.th/en/listings/2-br-condo-at-dusit-avenue-near-mrt-bang-phlat-id-2093943--b02c0a08,FOR_RENT,CONDO,2
Sukhumvit City Resort,2-BR Condo at Sukhumvit City Resort Condominium near BTS Nana (ID 1985842),"39,000 THB/month","Bangkok, Watthana Bangkok",BTS Nana (ID 1985842),125.34,2.0,2.0,https://propertyhub.in.th/en/listings/2-br-condo-at-sukhumvit-city-resort-condominium-near-bts-nana-id-1985842--a70b0912,FOR_RENT,CONDO,2
Chatrium Riverside Condomimium,5-BR Condo at Chatrium Riverside Condominium near BTS Saphan Taksin (ID 2198217),"250,000 THB/month","Bangkok, Bang Kho Laem Bangkok",BTS Saphan Taksin (ID 2198217),381.14,5.0,5.0,https://propertyhub.in.th/en/listings/5-br-condo-at-chatrium-riverside-condominium-near-bts-saphan-taksin-id-2198217,FOR_RENT,CONDO,2
Bangkok Feliz Sathorn - Taksin,2-BR Condo at Bangkok Feliz Sathorn - Taksin near BTS Krung Thon Buri (ID 495704),"21,000 THB/month","Bangkok, Khlong San Bangkok",BTS Krung Thon Buri (ID 495704),45.0,2.0,1.0,https://propertyhub.in.th/en/listings/2-br-condo-at-bangkok-feliz-sathorn-taksin-near-bts-krung-thon-buri-id-495704--c01f09e7,FOR_RENT,CONDO,2
ESQUE SUKHUMVIT 101/1,"🔥 Condo for Rent – ESQUE Sukhumvit 101/1, new room with fully furnished, Loft Duplex starting from 24,000 THB. Available to short-term contract.","24,000 THB/month","Bangkok, Phra Khanong Bangkok",,44.0,1.0,2.0,https://propertyhub.in.th/en/listings/condo-for-rent-esque-sukhumvit-101-1-new-room-with-fully-furnished-loft-duplex-starting-from-24-000-thb-available-to-short-term-contract,FOR_RENT,CONDO,2
Noble Around Ari,1 Bed Large Room City view Fully furnished Good Location Close to BTS Ari station @  Noble Around Ari,"18,000 THB/month","Bangkok, Phaya Thai Bangkok",BTS Ari station @  Noble Around Ari,26.53,1.0,1.0,https://propertyhub.in.th/en/listings/1-bed-large-room-city-view-fully-furnished-good-location-close-to-bts-ari-station-noble-around-ari--b3c1099b,FOR_RENT,CONDO,2
Estella Ekkamai,2-BR Condo at Estella Ekkamai (Condo) near ARL Ramkhamhaeng (ID 739132),"41,790 THB/month","Bangkok, Watthana Bangkok",ARL Ramkhamhaeng (ID 739132),70.0,2.0,2.0,https://propertyhub.in.th/en/listings/2-br-condo-at-estella-ekkamai-condo-movenpick-ekkamai-near-arl-ramkhamhaeng-id-739132,FOR_RENT,CONDO,2
Sukhumvit Casa,2-BR Condo at Sukhumvit Casa Condominium near BTS Asok (ID 1272693),"49,000 THB/month","Bangkok, Khlong Toei Bangkok",BTS Asok (ID 1272693),150.0,2.0,2.0,https://propertyhub.in.th/en/listings/2-br-condo-at-sukhumvit-casa-condominium-near-bts-asok-id-1272693,FOR_RENT,CONDO,2
Wish Signature  Midtown Siam,1-BR Condo at Wish Signature Midtown Siam near BTS Ratchathewi (ID 1511454),"19,000 THB/month","Bangkok, Ratchathewi Bangkok",BTS Ratchathewi (ID 1511454),27.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-br-condo-at-wish-signature-midtown-siam-near-bts-ratchathewi-id-1511454--a8150929,FOR_RENT,CONDO,2
Ashton Asoke - Rama 9,"For Rent Ashton Asoke-Rama9 🎉🔅 1 bed 32 sq m only 22,000","22,000 THB/month","Bangkok, Din Daeng Bangkok",,32.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-ashton-asoke-rama9-1-bed-32-sq-m-only-22-000,FOR_RENT,CONDO,2
SENA KITH Sathorn - Kallaprapruek ,"✨Condo for rent, ready to move in at Sena Kith Sathorn–Kalapapruek Phase 1. Brand-new unit in a great location on Kalapapruek Road, fully furnished.","7,700 THB/month","Bangkok, Phasi Charoen Bangkok",,26.0,1.0,1.0,https://propertyhub.in.th/en/listings/condo-for-rent-ready-to-move-in-at-sena-kith-sathornkalapapruek-phase-1-brand-new-unit-in-a-great-location-on-kalapapruek-road-fully-furnished--ae4609ab,FOR_RENT,CONDO,2
Lumpini Place Bangna Km.3,Lumpini Place Bangna Km.3 For Rent,"8,200 THB/month","Bangkok, Bang Na Bangkok",,29.0,1.0,1.0,https://propertyhub.in.th/en/listings/lumpini-place-bangna-km-3-for-rent--9e6408f3,FOR_RENT,CONDO,2
Lumpini Suite Phetchaburi - Makkasan,47 sqm high floor condo Lumpini Suite Phetchaburi-Makkasan Bangkok,"26,000 THB/month","Bangkok, Ratchathewi Bangkok",,47.0,2.0,1.0,https://propertyhub.in.th/en/listings/47-sqm-high-floor-condo-lumpini-suite-phetchaburi-makkasan-bangkok--bb920a38,FOR_RENT,CONDO,2
The Reserve 61 Hideaway,1-BR Condo at The Reserve 61 Hideaway near BTS Thong Lor (ID 2777034),"55,000 THB/month","Bangkok, Watthana Bangkok",BTS Thong Lor (ID 2777034),57.33,1.0,1.0,https://propertyhub.in.th/en/listings/1-br-condo-at-the-reserve-61-hideaway-near-bts-thong-lor-id-2777034--c47e0a4a,FOR_RENT,CONDO,2
The Platinum,1-BR Condo at The Platinum Condominium near ARL Ratchaprarop (ID 1569716),"15,000 THB/month","Bangkok, Ratchathewi Bangkok",ARL Ratchaprarop (ID 1569716),45.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-br-condo-at-the-platinum-condominium-near-arl-ratchaprarop-id-1569716,FOR_RENT,CONDO,2
Inter Lux Premier Sukhumvit 13,1-BR Condo at Inter Lux Premier Sukhumvit 13 near ARL Makkasan (ID 412926),"16,500 THB/month","Bangkok, Watthana Bangkok",ARL Makkasan (ID 412926),30.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-br-condo-at-inter-lux-premier-sukhumvit-13-near-arl-makkasan-id-412926,FOR_RENT,CONDO,2
Von Napa Sukhumvit 38,1-BR Condo at Von Napa Sukhumvit 38 Condominium near BTS Thong Lor (ID 2691786),"23,500 THB/month","Bangkok, Khlong Toei Bangkok",BTS Thong Lor (ID 2691786),52.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-br-condo-at-von-napa-sukhumvit-38-condominium-near-bts-thong-lor-id-2691786,FOR_RENT,CONDO,2
Chambers On Nut Station,FOR RENT Chambers On-nut Station  FULL FERNISHED,"14,000 THB/month","Bangkok, Phra Khanong Bangkok",,27.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-chambers-on-nut-station-full-fernished,FOR_RENT,CONDO,2
Lumpini Ville Phibulsongkhram - Riverview,For rent Lumpini Ville phiboonsongkram,"9,500 THB/month","Bangkok, Muang Nonthaburi Nonthaburi",,28.5,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-lumpini-ville-phiboonsongkram,FOR_RENT,CONDO,2
Supalai Wellington II,"Condo for rent Supalai Wellington 2, size 43 sq m., pool view, beautiful room, area size: 45 sq m., building 5, floor 6, east side","15,900 THB/month","Bangkok, Huai Khwang Bangkok",,34.0,1.0,1.0,https://propertyhub.in.th/en/listings/condo-for-rent-supalai-wellington-2-size-43-sq-m-pool-view-beautiful-room-area-size-45-sq-m-building-5-floor-6-east-side,FOR_RENT,CONDO,3
Rhythm Ekkamai,🍀🍀Special Offer🔥for Rent 📌 Rhythm Ekkamai 🌸 300 m. to BTS Ekkamai (Line: @rent2022)✨ Ready to move in | Property Code: A00423,"18,000 THB/month","Bangkok, Watthana Bangkok",BTS Ekkamai (Line: @rent2022)✨ Ready to move in,30.0,1.0,1.0,https://propertyhub.in.th/en/listings/special-offerfor-rent-rhythm-ekkamai-300-m-to-bts-ekkamai-line-rent2022-ready-to-move-in-property-code-a00423,FOR_RENT,CONDO,3
Aspire Sukhumvit 48,"Special price: 12,000 🥰📌 Aspire Sukhumvit 48 BTS Phra Khanong Contact Line:katk03","12,000 THB/month","Bangkok, Khlong Toei Bangkok",BTS Phra Khanong Contact Line:katk03,25.0,1.0,1.0,https://propertyhub.in.th/en/listings/special-price-12-000-aspire-sukhumvit-48-bts-phra-khanong-contact-line-katk03,FOR_RENT,CONDO,3
The Base Sukhumvit 77,"🔥🔥Room for rent Grab this opportunity! Near BTS On Nut, “The Base Sukhumvit 77,” close to Lotus, Big C On Nut, and Century Plaza. Hot location! 🎯🎯","14,000 THB/month","Bangkok, Watthana Bangkok",BTS On Nut,30.0,1.0,1.0,https://propertyhub.in.th/en/listings/room-for-rent-grab-this-opportunity-near-bts-on-nut-the-base-sukhumvit-77-close-to-lotus-big-c-on-nut-and-century-plaza-hot-location,FOR_RENT,CONDO,3
Nue Evo Ari ,Brand New 1 Bed Large Room City View Fully furnished Good Location Close To BTS ARI Station 300 M. @ Nue Evo Ari,"20,000 THB/month","Bangkok, Phaya Thai Bangkok",BTS ARI Station 300 M. @ Nue Evo Ari,29.73,1.0,1.0,https://propertyhub.in.th/en/listings/brand-new-1-bed-large-room-city-view-fully-furnished-good-location-close-to-bts-ari-station-300-m-nue-evo-ari,FOR_RENT,CONDO,3
Atmoz Flow Minburi,"For rent: Atmoz Flow Minburi, brand new unit, ready to move in.","10,000 THB/month","Bangkok, Min Buri Bangkok",,25.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-atmoz-flow-minburi-brand-new-unit-ready-to-move-in--b05d09ad,FOR_RENT,CONDO,3
Aspen Lasalle Phase A,"For rent 🔥 Aspen Lasalle 🔥 complete furniture and electrical appliances, near Sikarin Hospital.","8,000 THB/month","Bangkok, Bang Na Bangkok",,23.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-aspen-lasalle-complete-furniture-and-electrical-appliances-near-sikarin-hospital--b1b609b5,FOR_RENT,CONDO,3
PARK ORIGIN PHAYATHAI,"Condo Park Origin Phayathai  Studio 24.57 SQ.M. | Rent 20,000 THB/Month","20,000 THB/month","Bangkok, Ratchathewi Bangkok",,24.57,1.0,1.0,https://propertyhub.in.th/en/listings/condo-park-origin-phayathai-studio-24-57-sq-m-rent-20-000-thb-month,FOR_RENT,CONDO,3
ESQUE SUKHUMVIT 101/1,"🔥 Condo for Rent – ESQUE Sukhumvit 101/1, new room with fully furnished, 1 Bedroom starting from 17,000 THB. Available to short-term contract.","17,000 THB/month","Bangkok, Phra Khanong Bangkok",,33.0,1.0,1.0,https://propertyhub.in.th/en/listings/condo-for-rent-esque-sukhumvit-101-1-new-room-with-fully-furnished-1-bedroom-starting-from-17-000-thb-available-to-short-term-contract,FOR_RENT,CONDO,3
Noble form Thonglor,32 Sqm 1 Bed Noble Form Thonglor,"35,000 THB/month","Bangkok, Watthana Bangkok",,32.0,1.0,1.0,https://propertyhub.in.th/en/listings/32-sqm-1-bed-noble-form-thonglor,FOR_RENT,CONDO,3
The Rise Sukhumvit 39,2-BR Condo at The Rise Sukhumvit 39 near BTS Phrom Phong (ID 2465753),"40,000 THB/month","Bangkok, Watthana Bangkok",BTS Phrom Phong (ID 2465753),100.0,2.0,2.0,https://propertyhub.in.th/en/listings/2-br-condo-at-the-rise-sukhumvit-39-near-bts-phrom-phong-id-2465753--a4bd08fe,FOR_RENT,CONDO,3
Aspire Rama 9,"For Rent Aspire Rama9 🎉🔅 1bed 40sq.m only 17,000","17,000 THB/month","Bangkok, Huai Khwang Bangkok",,40.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-aspire-rama9-1bed-40sq-m-only-17-000,FOR_RENT,CONDO,3
The Crest Sukhumvit 34,1-BR Condo at The Crest Sukhumvit 34 near BTS Thong Lor (ID 2658958),"30,000 THB/month","Bangkok, Watthana Bangkok",BTS Thong Lor (ID 2658958),46.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-br-condo-at-the-crest-sukhumvit-34-near-bts-thong-lor-id-2658958--b1f4098c,FOR_RENT,CONDO,3
Park Village Onnut - Suvarnabhumi,"Condo on Sukhumvit 77 road in On Nut area. Quiet atmosphere, fully furnished, ready to move in. Free parking, gym, and swimming pool.","12,000 THB/month","Bangkok, Prawet Bangkok",,50.0,1.0,1.0,https://propertyhub.in.th/en/listings/condo-on-sukhumvit-77-road-in-on-nut-area-quiet-atmosphere-fully-furnished-ready-to-move-in-free-parking-gym-and-swimming-pool,FOR_RENT,CONDO,3
Life Asoke - Rama 9,1-BR Condo at Life Asoke - Rama 9 near MRT Phra Ram 9 (ID 2343626),"17,000 THB/month","Bangkok, Ratchathewi Bangkok",MRT Phra Ram 9 (ID 2343626),28.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-br-condo-at-life-asoke-rama-9-near-mrt-phra-ram-9-id-2343626--a54d095a,FOR_RENT,CONDO,3
The Base Sukhumvit 77,1-BR Condo at The Base Sukhumvit 77 near BTS On Nut (ID 2824130),"13,000 THB/month","Bangkok, Watthana Bangkok",BTS On Nut (ID 2824130),30.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-br-condo-at-the-base-sukhumvit-77-near-bts-on-nut-id-2824130,FOR_RENT,CONDO,3
Noble Recole,1 Bed 1 Bath 35 SQ.M Noble Recole Sukhumvit 19,"25,000 THB/month","Bangkok, Watthana Bangkok",,35.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-bed-1-bath-35-sq-m-noble-recole-sukhumvit-19--b27b0952,FOR_RENT,CONDO,3
President Place,2-BR Condo at President Place near BTS Chit Lom (ID 2353592),"75,000 THB/month","Bangkok, Pathum Wan Bangkok",BTS Chit Lom (ID 2353592),140.0,2.0,2.0,https://propertyhub.in.th/en/listings/2-br-condo-at-president-place-near-bts-chit-lom-id-2353592,FOR_RENT,CONDO,3
Tai Ping Towers,3-BR Condo at Tai Ping Towers Sukhumvit 63 near ARL Ramkhamhaeng (ID 2695432),"35,800 THB/month","Bangkok, Watthana Bangkok",ARL Ramkhamhaeng (ID 2695432),130.0,3.0,2.0,https://propertyhub.in.th/en/listings/3-br-condo-at-tai-ping-towers-sukhumvit-63-near-arl-ramkhamhaeng-id-2695432--b48c09e0,FOR_RENT,CONDO,3
The Rich Rama 9 - Srinakarin,"MDL24120439 Condo for rent at The Rich Rama 9 - Srinakarin (THE RICH RAMA 9 - SRINAKARIN), ready to move in. Call urgently 0656133286 LineID @534wlwof","21,000 THB/month","Bangkok, Suan Luang Bangkok",,45.0,2.0,1.0,https://propertyhub.in.th/en/listings/mdl24120439-condo-for-rent-at-the-rich-rama-9-srinakarin-the-rich-rama-9-srinakarin-ready-to-move-in-call-urgently-0656133286-lineid-534wlwof,FOR_RENT,CONDO,3
Supreme Ville,2-BR Condo at Supreme Ville Condominium near MRT Khlong Toei (ID 1842386),"53,000 THB/month","Bangkok, Sathon Bangkok",MRT Khlong Toei (ID 1842386),118.2,2.0,2.0,https://propertyhub.in.th/en/listings/2-br-condo-at-supreme-ville-condominium-near-mrt-khlong-toei-id-1842386--b35809ed,FOR_RENT,CONDO,3
Nue Evo Ari ,1-BR Condo at Nue Evo Ari near BTS Ari (ID 2904515),"20,500 THB/month","Bangkok, Phaya Thai Bangkok",BTS Ari (ID 2904515),30.4,1.0,1.0,https://propertyhub.in.th/en/listings/1-br-condo-at-nue-evo-ari-near-bts-ari-id-2904515--b20209db,FOR_RENT,CONDO,3
Bangkok Feliz @ Krungthonburi 5 - 2,1-BR Condo at Bangkok Feliz @ Krungthonburi Station near BTS Krung Thon Buri (ID 1414648),"15,500 THB/month","Bangkok, Thon Buri Bangkok",BTS Krung Thon Buri (ID 1414648),40.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-br-condo-at-bangkok-feliz-krungthonburi-station-near-bts-krung-thon-buri-id-1414648,FOR_RENT,CONDO,3
Regent on the Park 2,4-BR Condo at Regent On The Park 2 (Sukhumvit 61) Condominium near BTS Thong Lor (ID 1165973),"90,000 THB/month","Bangkok, Watthana Bangkok",BTS Thong Lor (ID 1165973),265.0,4.0,4.0,https://propertyhub.in.th/en/listings/4-br-condo-at-regent-on-the-park-2-sukhumvit-61-condominium-near-bts-thong-lor-id-1165973--964d0865,FOR_RENT,CONDO,3
Siamese Exclusive Sukhumvit 31,3-BR Condo at Siamese Exclusive Sukhumvit 31 near MRT Sukhumvit (ID 1227662),"150,000 THB/month","Bangkok, Watthana Bangkok",MRT Sukhumvit (ID 1227662),220.0,3.0,3.0,https://propertyhub.in.th/en/listings/3-br-condo-at-siamese-exclusive-sukhumvit-31-near-mrt-sukhumvit-id-1227662--ad96099f,FOR_RENT,CONDO,3
Niche Mono Rama 9,"✨2-Bedroom Condo for Rent, Ready to Move in at Niche Mono Rama 9 Brand-new unit, fully furnished, central Bangkok.","25,500 THB/month","Bangkok, Huai Khwang Bangkok",,55.0,2.0,2.0,https://propertyhub.in.th/en/listings/2-bedroom-condo-for-rent-ready-to-move-in-at-niche-mono-rama-9-brand-new-unit-fully-furnished-central-bangkok--afe5095e,FOR_RENT,CONDO,3
Aspire Onnut Station,Aspire Onnut                 Station,"23,000 THB/month","Bangkok, Khlong Toei Bangkok",,30.9,1.0,1.0,https://propertyhub.in.th/en/listings/aspire-onnut-station--a4f808be,FOR_RENT,CONDO,3
United Tower,3-BR Condo at United Tower Thong Lor near BTS Thong Lor (ID 2030063),"75,000 THB/month","Bangkok, Watthana Bangkok",BTS Thong Lor (ID 2030063),152.0,3.0,3.0,https://propertyhub.in.th/en/listings/3-br-condo-at-united-tower-thong-lor-near-bts-thong-lor-id-2030063,FOR_RENT,CONDO,3
Supalai ICON Sathorn,For rent : High-Rise Living at Supalai Icon Sathorn Comfort Meets Sathorn CBD,"110,000 THB/month","Bangkok, Sathon Bangkok",,99.0,3.0,2.0,https://propertyhub.in.th/en/listings/for-rent-high-rise-living-at-supalai-icon-sathorn-comfort-meets-sathorn-cbd,FOR_RENT,CONDO,3
Culture Chula,58 Sqm 2 Bed 1 Bath Culture Chula,"56,000 THB/month","Bangkok, Bang Rak Bangkok",,58.0,2.0,1.0,https://propertyhub.in.th/en/listings/58-sqm-2-bed-1-bath-culture-chula,FOR_RENT,CONDO,3
Noble Revolve Ratchada,"1 Bed Large Room High Fl. 30+ City view Fully furnished Good Location Close to  MRT Thailand Cultural Centre Station, 80 m. @  Noble Revolve Ratchada","14,000 THB/month","Bangkok, Huai Khwang Bangkok",MRT Thailand Cultural Centre Station,26.52,1.0,1.0,https://propertyhub.in.th/en/listings/1-bed-large-room-high-fl-30-city-view-fully-furnished-good-location-close-to-mrt-thailand-cultural-centre-station-80-m-noble-revolve-ratchada,FOR_RENT,CONDO,3
Niche Mono Sukhumvit - Bearing,"DL26050190 Condo for rent, Niche Mono Sukhumvit - Bearing. Ready to move in. Call now 0800343450 [Agent Kookkai] Line ID @655ebbvc","12,000 THB/month","Bangkok, Muang Samut Prakarn Samut Prakarn",,33.0,1.0,1.0,https://propertyhub.in.th/en/listings/dl26050190-condo-for-rent-niche-mono-sukhumvit-bearing-ready-to-move-in-call-now-0800343450-agent-kookkai-line-id-655ebbvc,FOR_RENT,CONDO,3
Ashton Asoke,1-BR Condo at Ashton Asoke near MRT Sukhumvit (ID 511985),"25,000 THB/month","Bangkok, Watthana Bangkok",MRT Sukhumvit (ID 511985),34.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-br-condo-at-ashton-asoke-near-mrt-sukhumvit-id-511985--96cd0842,FOR_RENT,CONDO,3
Villa Sikhara,2 Bed 2 Bath 122 SQ.M Villa Sikhara,"48,000 THB/month","Bangkok, Watthana Bangkok",,122.0,2.0,2.0,https://propertyhub.in.th/en/listings/2-bed-2-bath-122-sq-m-villa-sikhara--b5c309e8,FOR_RENT,CONDO,3
U Delight Ratchavibha,"P464 Condo for rent U Delight Ratchavibha, beautiful corner room, fully furnished, washing machine included, ready to move in","15,000 THB/month","Bangkok, Chatuchak Bangkok",,40.0,1.0,1.0,https://propertyhub.in.th/en/listings/p464-condo-for-rent-u-delight-ratchavibha-beautiful-corner-room-fully-furnished-washing-machine-included-ready-to-move-in,FOR_RENT,CONDO,3
Walden Asoke,1-BR Condo at Walden Asoke near MRT Sukhumvit (ID 1371956),"33,000 THB/month","Bangkok, Watthana Bangkok",MRT Sukhumvit (ID 1371956),55.7,1.0,1.0,https://propertyhub.in.th/en/listings/1-br-condo-at-walden-asoke-near-mrt-sukhumvit-id-1371956--a34a0912,FOR_RENT,CONDO,3
XT EKKAMAI,2-BR Condo at XT Ekkamai near BTS Thong Lor (ID 399892),"35,500 THB/month","Bangkok, Watthana Bangkok",BTS Thong Lor (ID 399892),58.0,2.0,2.0,https://propertyhub.in.th/en/listings/2-br-condo-at-xt-ekkamai-near-bts-thong-lor-id-399892--ba37099e,FOR_RENT,CONDO,3
We Condo Ekkamai-Raminthra,For Rent🚝 We condo Ekkamai-Ramintra Fully  (Near MRT Pink Line) 📱Line: @promptcondo,"9,500 THB/month","Bangkok, Bang Khen Bangkok",MRT Pink Line) 📱Line: @promptcondo,34.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-we-condo-ekkamai-ramintra-fully-near-mrt-pink-line-line-promptcondo--a9860926,FOR_RENT,CONDO,3
